52479,B01,OPP ACS PR SCH
44131,B04,BLK 26
12099,B06,OPP SIM HQ
53289,B02,ZION BIBLE PRESBY CH
25391,B10,OPP SUMITOMO WAREHSE
58101,B01,BLK 311
52309,NIL,BLK 30
28631,B05,OPP BLK 288D
63109,B09,BLK 172
27409,B02,BLK 821
10401,B03,SHRIRO HSE
01039,B09,NTH BRIDGE COMMERC CPLX
80111,B01,BEF GEYLANG RD
46349,B02,AFT BLK 353
43611,B06,BLK 290H
92221,B02,BLK 19
50321,B01,OPP DORSET CT
44109,B07,OPP HONG SAN TERR
14431,B01,
14199,B02,BLK 118
72061,B03,BLK 122
43549,B01,REGENT HTS
97069,B10,LLOYD LEAS WORK REL CAMP
28011,B21,AFT ITE WEST (CLEMENTI)
78121,B07,BET BLKS 232 / 233
58201,B02,PRISON TRG SCH
47591,NIL,BLK 680
31081,B11,OPP HQ 5TH SIB CAMP I
24489,B05,ENERGY \& IND ENGRG
67029,B31,AFT DEDAP RD
54031,B03,OPP AL-MUTTAQIN MQUE
51119,B02,BEF ANDREW RD
28501,B01,BLK 490
81011,NIL,ALJUNIED STN
29119,B01,COMFORTDELGRO HOLDINGS
05629,B03,OPP STH PT
46741,B04,SEAGATE
40109,B02,OPP KK WOMEN \& CHILD HOSP
52411,B05,BLK 105
49081,B04,OPP ECON MACHINERY
51131,B18,OPP BRADDELL VIEW
24521,B03,BEF TUAS AVE 5
67481,B04,
83239,B06,
52029,B13,BLK 1004
80069,NIL,OPP MOHD SALLEH MQUE
11511,B16,ALEXANDRA HOSP
58229,B01A,BLK 358A CP
82099,B05,CDAC BLDG
59029,B14,AFT YISHUN AVE 1
55251,B03,COUNTRYSIDE EST
41051,B27,HWA CHONG JC
N4579,NIL,BLK 675
04251,B01,OPP HIGH ST CTR
44009,NIL,CHOA CHU KANG INT
66161,B03,OPP CROWHURST DR
70079,B06,AFT REGENT MOTORS
62189,NIL,BLK 416
22451,B09,OPP BLK 643
20309,B02,BLK 19
57061,B09,DIEPPE BARRACKS
43601,NIL,OPP BLK 532
67211,B09,BLK 208 MULTI-STOREY C.P
92059,B04,BET BLKS 72/74
40181,B01,NEWTON STN
83319,B03,AFT LOR J TELOK KURAU
49239,B06,OPP NYEE PHOE GROUP
21559,B04,CISCO RECALL
53159,B11,BLK 260
53019,B02,OPP ST. THERESA'S HOME
